edition_id,facs,start_article
dark-3708581,https://betalab.kb.se/dark-3708581/bib13991099_19050131_0_12499A_0002.jp2/_view,
dark-3708964,https://betalab.kb.se/dark-3708964/bib13991099_19050115_0_12483B_0002.jp2/_view,
dark-3708990,https://betalab.kb.se/dark-3708990/bib13991099_19050210_0_12509B_0001.jp2/_view,
