	document_id	topic_id	weight
0	0	1	0.047619047619047616
1	0	2	0.0006105006105006105
2	0	7	0.009768009768009768
3	0	8	0.034188034188034185
4	0	9	0.0036630036630036634
5	0	10	0.009768009768009768
6	0	11	0.050671550671550665
7	0	12	0.001221001221001221
8	0	13	0.0006105006105006105
9	0	15	0.028693528693528692
10	0	16	0.09096459096459096
11	0	17	0.005494505494505495
12	0	18	0.01221001221001221
13	0	19	0.08852258852258853
14	0	21	0.0006105006105006105
15	0	22	0.03601953601953602
16	0	23	0.0018315018315018317
17	0	24	0.02258852258852259
18	0	27	0.054334554334554336
19	0	28	0.031135531135531136
20	0	29	0.006105006105006105
21	0	30	0.0030525030525030525
22	0	31	0.0030525030525030525
23	0	32	0.008547008547008548
24	0	33	0.040903540903540904
25	0	34	0.17521367521367523
26	0	35	0.0006105006105006105
27	0	37	0.057387057387057384
28	0	39	0.0006105006105006105
29	0	40	0.0018315018315018317
30	0	41	0.0006105006105006105
31	0	45	0.0018315018315018313
32	0	46	0.001221001221001221
33	0	47	0.013431013431013432
34	0	48	0.006715506715506716
35	0	49	0.14835164835164835
36	1	0	0.03704496278859643
37	1	1	0.036783412987136506
38	1	2	0.010937537151960434
39	1	4	0.028247378557671732
40	1	5	0.01757139120717122
41	1	6	0.0009273129324488195
42	1	7	0.025132558194830828
43	1	8	0.018665144922367264
44	1	9	0.003043488598806382
45	1	10	0.01859381315833274
46	1	11	0.03157619421261621
47	1	12	0.002021066647644863
48	1	13	0.0004042133295289726
49	1	14	0.03179018950471978
50	1	15	0.016025869653089855
51	1	16	0.01904558099721806
52	1	17	0.0010937537151960435
53	1	18	0.023943695460922083
54	1	19	0.05209596499988112
55	1	20	0.0037568062391516274
56	1	21	0.023277932329933183
57	1	22	0.021803742539886345
58	1	23	0.007917825807832228
59	1	24	0.0030910431081627317
60	1	25	0.002758161542668284
61	1	26	0.009487124616591769
62	1	27	0.0005706541122761966
63	1	28	0.012269063413938228
64	1	29	0.004707896426278622
65	1	30	0.038186271013148816
66	1	31	0.0037805834938298027
67	1	32	0.011127755189385835
68	1	33	0.028604037377844355
69	1	34	0.13298618541503196
70	1	35	0.0035903654564044037
71	1	36	0.016002092398411678
72	1	37	0.026844520531659418
73	1	39	0.02705851582376299
74	1	40	0.002021066647644863
75	1	41	0.0026392752692774094
76	1	42	0.007228285422165157
77	1	43	0.0061107544522909394
78	1	44	0.03014955893192572
79	1	45	0.00026154980145992346
80	1	46	0.025203889958865352
81	1	47	0.024157690753025655
82	1	48	0.02413391349834748
83	1	49	0.12532990940865968
84	2	0	0.014731585518102372
85	2	2	0.0003745318352059925
86	2	3	0.054806491885143575
87	2	5	0.016604244694132336
88	2	6	0.006491885143570538
89	2	8	0.0009987515605493133
90	2	9	0.012484394506866418
91	2	11	0.00012484394506866417
92	2	12	0.005493133583021223
93	2	13	0.022971285892634207
94	2	15	0.0013732833957553058
95	2	17	0.0550561797752809
96	2	18	0.0004993757802746567
97	2	19	0.0003745318352059925
98	2	20	0.037952559300873906
99	2	22	0.01173533083645443
100	2	24	0.01772784019975031
101	2	25	0.10499375780274656
102	2	26	0.0774032459425718
103	2	27	0.00299625468164794
104	2	29	0.009363295880149813
105	2	30	0.004744069912609239
106	2	32	0.014481897627965043
107	2	34	0.014481897627965043
108	2	35	0.0352059925093633
109	2	36	0.0034956304619225965
110	2	37	0.0004993757802746567
111	2	38	0.11710362047440699
112	2	39	0.12484394506866418
113	2	40	0.10861423220973782
114	2	42	0.000749063670411985
115	2	43	0.006242197253433209
116	2	44	0.00024968789013732833
117	2	45	0.07990012484394507
118	2	46	0.0012484394506866417
119	2	47	0.0006242197253433209
120	2	48	0.0004993757802746567
121	2	49	0.03245942571785269
122	3	3	0.0985663082437276
123	3	4	0.003584229390681004
124	3	5	0.001792114695340502
125	3	7	0.003584229390681004
126	3	8	0.019713261648745522
127	3	9	0.012544802867383513
128	3	14	0.01075268817204301
129	3	20	0.017921146953405017
130	3	21	0.012544802867383513
131	3	23	0.001792114695340502
132	3	24	0.07706093189964158
133	3	25	0.1039426523297491
134	3	26	0.08960573476702509
135	3	30	0.02688172043010753
136	3	32	0.02150537634408602
137	3	35	0.10752688172043011
138	3	36	0.001792114695340502
139	3	38	0.14516129032258066
140	3	39	0.11290322580645161
141	3	40	0.001792114695340502
142	3	41	0.05017921146953405
143	3	42	0.003584229390681004
144	3	45	0.06630824372759857
145	3	46	0.001792114695340502
146	3	49	0.007168458781362008
147	4	0	0.0051813471502590676
148	4	1	0.0008635578583765113
149	4	2	0.026770293609671845
150	4	3	0.08290155440414508
151	4	5	0.003454231433506045
152	4	6	0.0051813471502590676
153	4	9	0.09153713298791018
154	4	13	0.0008635578583765113
155	4	14	0.010362694300518135
156	4	15	0.01468048359240069
157	4	19	0.009499136442141624
158	4	21	0.010362694300518135
159	4	22	0.017271157167530225
160	4	23	0.0017271157167530226
161	4	24	0.004317789291882556
162	4	25	0.04576856649395509
163	4	26	0.03454231433506045
164	4	30	0.018998272884283247
165	4	31	0.003454231433506045
166	4	32	0.0051813471502590676
167	4	33	0.0008635578583765113
