edition_id,facs,content
dark-3707971,https://betalab.kb.se/dark-3707971#1-1-ARTICLE54644263-ZONE524750990,
dark-3707974,https://betalab.kb.se/dark-3707974#1-2-ARTICLE54644409-ZONE524752502,
dark-3718889,https://betalab.kb.se/dark-3718889#1-4-ARTICLE54599565-ZONE524361260,
dark-3718920,https://betalab.kb.se/dark-3718920#1-3-ARTICLE54583713-ZONE524219808,
